Group,Pair,block,trial,test_trial,condition,angle,angle_condition,clockwise,cdim,time,frame,part,cursor_X,cursor_Y,distToTraject,speedX,speedY,keyPress,up,down,left,right,curve_part,id_distr
21,AB,4,37,False,1,180,0,1,"[0, 1]",1.9788742065429688e-05,1,0,1420,540,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.016286849975585938,2,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.032351016998291016,3,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.04845690727233887,4,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.06456494331359863,5,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.08069181442260742,6,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.09681892395019531,7,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.11291885375976562,8,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.1290569305419922,9,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.1451709270477295,10,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.16134095191955566,11,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.17747879028320312,12,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.193220853805542,13,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.2093338966369629,14,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.22583889961242676,15,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.24196696281433105,16,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.25885987281799316,17,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.27497196197509766,18,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.2911868095397949,19,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.3069298267364502,20,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.32206201553344727,21,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,37,False,1,180,0,1,"[0, 1]",0.33789682388305664,22,0,1420.0,540.0,0.0,0,0,0,0,0,0,0,0
