Group,Pair,block,trial,test_trial,condition,angle,angle_condition,clockwise,cdim,time,frame,part,cursor_X,cursor_Y,distToTraject,speedX,speedY,keyPress,up,down,left,right,curve_part,id_distr
21,AB,4,39,False,1,90,1,1,"[0, 1]",2.8848648071289062e-05,1,0,960,80,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.015861034393310547,2,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.031965017318725586,3,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.04806995391845703,4,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.06417298316955566,5,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.08024001121520996,6,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.09633994102478027,7,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.11244988441467285,8,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.12855982780456543,9,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.1446678638458252,10,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.16077804565429688,11,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.17688703536987305,12,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.19299793243408203,13,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.20911002159118652,14,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.22521686553955078,15,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.24129199981689453,16,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.25739192962646484,17,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.274507999420166,18,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.29057788848876953,19,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.3066370487213135,20,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.32263898849487305,21,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.33869504928588867,22,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.35475993156433105,23,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.37078189849853516,24,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.3868288993835449,25,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.40288591384887695,26,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.41895198822021484,27,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.4350109100341797,28,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.4510619640350342,29,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.467120885848999,30,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.48317503929138184,31,0,960.0,80.0,0.0,0,0.2,1,0,1,0,0,0
21,AB,4,39,False,1,90,1,1,"[0, 1]",0.49924802780151367,32,0,960.0,80.2,0.0,0,0.2,0,0,0,0,0,0
