Group,Pair,block,trial,test_trial,condition,angle,angle_condition,clockwise,cdim,time,frame,part,cursor_X,cursor_Y,distToTraject,speedX,speedY,keyPress,up,down,left,right,curve_part,id_distr
21,AB,1,10,False,1,270,1,1,"[1, 0]",1.9073486328125e-05,1,0,960,1000,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.01581716537475586,2,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.03192615509033203,3,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.04780220985412598,4,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.06368613243103027,5,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.07964420318603516,6,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.09553813934326172,7,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.11153912544250488,8,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.1284351348876953,9,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.1445322036743164,10,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.16133999824523926,11,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.17705821990966797,12,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.19275212287902832,13,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.2094571590423584,14,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.22617316246032715,15,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,10,False,1,270,1,1,"[1, 0]",0.24189019203186035,16,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
