Group,Pair,block,trial,test_trial,condition,angle,angle_condition,clockwise,cdim,time,frame,part,cursor_X,cursor_Y,distToTraject,speedX,speedY,keyPress,up,down,left,right,curve_part,id_distr
21,AB,3,31,False,1,270,1,1,"[1, 0]",1.9073486328125e-05,1,0,960,1000,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.015922069549560547,2,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.03202199935913086,3,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.04819989204406738,4,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.06405305862426758,5,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.0801858901977539,6,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.09631705284118652,7,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.11222290992736816,8,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.12835097312927246,9,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.14345788955688477,10,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.15958189964294434,11,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.17574191093444824,12,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.19184088706970215,13,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.20863986015319824,14,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.22476696968078613,15,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.24089789390563965,16,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.25698184967041016,17,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.2730739116668701,18,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.28916287422180176,19,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.30524706840515137,20,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.32130885124206543,21,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.3374779224395752,22,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.3535580635070801,23,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.3706388473510742,24,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.38671398162841797,25,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.40282201766967773,26,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.4189128875732422,27,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.4349989891052246,28,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.4511258602142334,29,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.46724891662597656,30,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.48334407806396484,31,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.4994668960571289,32,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
21,AB,3,31,False,1,270,1,1,"[1, 0]",0.5156080722808838,33,0,960.0,1000.0,0.0,0,0,0,0,0,0,0,0
