Group,Pair,block,trial,test_trial,condition,angle,angle_condition,clockwise,cdim,time,frame,part,cursor_X,cursor_Y,distToTraject,speedX,speedY,keyPress,up,down,left,right,curve_part,id_distr
21,AB,1,11,False,1,90,1,0,"[1, 0]",2.002716064453125e-05,1,0,960,80,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.01569390296936035,2,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.031764984130859375,3,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.04782509803771973,4,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.0638880729675293,5,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.0799260139465332,6,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.09597992897033691,7,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.11216092109680176,8,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.1281890869140625,9,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.14425206184387207,10,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.16031599044799805,11,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.17638397216796875,12,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.1934220790863037,13,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.20956206321716309,14,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.2257061004638672,15,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.24178194999694824,16,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.2579329013824463,17,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.2740650177001953,18,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.29013609886169434,19,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.3062460422515869,20,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.3223590850830078,21,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.3394780158996582,22,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.3555409908294678,23,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.37160491943359375,24,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.38766908645629883,25,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.40373706817626953,26,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.4198029041290283,27,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.4358820915222168,28,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.4519479274749756,29,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.46797800064086914,30,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.48403286933898926,31,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.5000979900360107,32,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.516089916229248,33,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.5321300029754639,34,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.5481839179992676,35,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.5642609596252441,36,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.5803389549255371,37,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.5974059104919434,38,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.6135439872741699,39,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.6296629905700684,40,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.6457769870758057,41,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.6618890762329102,42,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.6779959201812744,43,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.6941061019897461,44,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.7102179527282715,45,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.7263228893280029,46,0,960.0,80.0,0.0,0,0,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.7424368858337402,47,0,960.0,80.0,0.0,0,0.2,1,0,1,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.7585349082946777,48,0,960.0,80.2,0.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.7746529579162598,49,0,960.0,80.4,0.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.7907710075378418,50,0,960.0,80.60000000000001,1.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.8068180084228516,51,0,960.0,80.80000000000001,1.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.8228859901428223,52,0,960.0,81.00000000000001,1.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.8389480113983154,53,0,960.0,81.20000000000002,1.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.8549928665161133,54,0,960.0,81.40000000000002,1.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.8710088729858398,55,0,960.0,81.60000000000002,0.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.8870530128479004,56,0,960.0,81.80000000000003,0.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.9031150341033936,57,0,960.0,82.00000000000003,0.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.9191679954528809,58,0,960.0,82.20000000000003,0.0,0,0.2,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.935183048248291,59,0,960.0,82.40000000000003,0.0,0,0.4,1,0,1,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.9512319564819336,60,0,960.0,82.80000000000004,1.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.9672799110412598,61,0,960.0,83.20000000000005,1.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",0.9833509922027588,62,0,960.0,83.60000000000005,0.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.0004379749298096,63,0,960.0,84.00000000000006,0.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.0165159702301025,64,0,960.0,84.40000000000006,0.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.0326130390167236,65,0,960.0,84.80000000000007,1.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.048703908920288,66,0,960.0,85.20000000000007,1.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.0647199153900146,67,0,960.0,85.60000000000008,0.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.0807969570159912,68,0,960.0,86.00000000000009,0.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.0969018936157227,69,0,960.0,86.40000000000009,0.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.113102912902832,70,0,960.0,86.8000000000001,1.0,0,0.4,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.1291899681091309,71,0,960.0,87.2000000000001,1.0,0,0.6000000000000001,1,0,1,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.1452910900115967,72,0,960.0,87.8000000000001,1.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.1614010334014893,73,0,960.0,88.40000000000009,1.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.1775250434875488,74,0,960.0,89.00000000000009,0.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.1936640739440918,75,0,960.0,89.60000000000008,1.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.2097790241241455,76,0,960.0,90.20000000000007,1.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.2258870601654053,77,0,960.0,90.80000000000007,0.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.2419869899749756,78,0,960.0,91.40000000000006,0.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.258094072341919,79,0,960.0,92.00000000000006,1.0,0,0.6000000000000001,0,0,0,0,0,0
21,AB,1,11,False,1,90,1,0,"[1, 0]",1.2741799354553223,80,0,960.0,92.60000000000005,0.0,0,0.6000000000000001,0,0,0,0,0,0
