Group,Pair,block,trial,test_trial,condition,angle,angle_condition,clockwise,cdim,time,frame,part,cursor_X,cursor_Y,distToTraject,speedX,speedY,keyPress,up,down,left,right,curve_part,id_distr
21,AB,2,14,False,1,0,0,1,"[0, 1]",2.09808349609375e-05,1,0,500,540,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.016816139221191406,2,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.031944990158081055,3,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.04860711097717285,4,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.06426215171813965,5,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.07999205589294434,6,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.0960841178894043,7,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.11219501495361328,8,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.12822318077087402,9,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.14427709579467773,10,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.16033506393432617,11,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.1763911247253418,12,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.19245505332946777,13,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.2084970474243164,14,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.22457313537597656,15,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.2406330108642578,16,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.2566859722137451,17,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.27274298667907715,18,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.28879618644714355,19,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.3048529624938965,20,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.32192015647888184,21,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.33797216415405273,22,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.3540070056915283,23,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.37009310722351074,24,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.38614702224731445,25,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.40220117568969727,26,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.4184000492095947,27,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.43406105041503906,28,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.4507870674133301,29,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
21,AB,2,14,False,1,0,0,1,"[0, 1]",0.4669020175933838,30,0,500.0,540.0,0.0,0,0,0,0,0,0,0,0
